,open,close,high,low
2023-04-14,626.0,636.75,637.5,623.0
2023-04-13,656.0,652.25,661.75,651.5
2023-04-12,651.0,656.0,658.5,648.75
2023-04-11,653.5,651.0,657.75,646.75
2023-04-10,644.5,654.0,655.0,640.25
2023-04-09,644.5,643.25,620.75,643.0
2023-04-06,652.25,643.5,652.5,641.75
2023-04-05,653.75,652.75,660.0,646.5
2023-04-04,657.0,653.75,657.5,648.5
2023-04-03,659.5,657.75,668.5,656.0
2023-04-02,659.5,663.25,664.25,659.25
2023-03-31,648.75,660.5,664.5,647.25
2023-03-30,649.75,649.5,654.75,648.0
2023-03-29,646.25,650.5,655.5,645.75
2023-03-28,646.75,647.25,651.25,644.5
2023-03-27,643.0,648.25,648.75,637.0
2023-03-26,643.0,642.75,644.0,641.25
2023-03-24,631.0,643.0,645.0,627.5
2023-03-23,633.0,631.75,644.0,627.25
2023-03-22,631.25,633.5,636.0,623.25
2023-03-21,632.75,630.0,638.25,628.75
2023-03-20,633.0,633.0,634.0,625.0
2023-03-19,633.0,628.25,633.5,628.0
2023-03-17,633.25,634.25,638.75,630.25
2023-03-16,626.0,632.75,635.0,624.75
2023-03-15,623.75,626.5,629.0,619.25
2023-03-14,624.0,627.5,627.5,624.0
2023-03-13,622.25,624.5,629.0,622.25
2023-03-12,619.0,619.75,620.0,618.25
2023-03-10,620.0,624.25,626.75,618.5
2023-03-09,633.75,618.5,637.25,618.25
2023-03-08,644.0,634.5,646.0,634.0
2023-03-07,644.25,642.0,646.75,639.75
2023-03-06,645.25,644.5,646.75,641.25
2023-03-03,639.75,645.25,648.25,638.25
2023-03-02,641.0,637.75,647.25,636.0
2023-03-01,630.0,640.5,641.5,623.5
2023-02-28,642.0,629.5,644.75,629.25
2023-02-27,650.75,642.75,654.0,642.25
2023-02-24,660.5,650.0,662.5,649.75
2023-02-23,674.5,660.25,676.25,658.5
2023-02-22,680.0,674.0,681.5,673.75
2023-02-21,678.5,680.5,683.0,675.5
2023-02-17,676.0,677.75,679.0,675.0
2023-02-16,676.5,676.0,677.25,673.25
2023-02-15,682.0,676.25,682.5,675.5
2023-02-14,684.0,682.25,688.25,681.75
2023-02-13,680.0,685.0,686.5,676.75
2023-02-10,670.75,680.5,682.75,669.25
2023-02-09,678.25,670.75,681.0,670.25
2023-02-08,673.75,678.5,679.5,672.75
2023-02-07,677.0,674.0,678.5,673.5
2023-02-06,677.25,679.0,679.25,672.25
