,open,close,high,low
2023-04-20,78.870003,77.290001,78.889999,76.970001
2023-04-19,80.919998,79.160004,81.18,78.459999
2023-04-18,81.0,80.860001,81.480003,79.870003
2023-04-17,82.480003,80.830002,82.709999,80.470001
2023-04-16,82.480003,82.5,82.68,82.459999
2023-04-14,82.400002,82.519997,83.120003,81.760002
2023-04-13,83.220001,82.160004,83.440002,82.110001
2023-04-12,81.440002,83.260002,83.529999,81.279999
2023-04-11,79.879997,81.529999,81.589996,79.370003
2023-04-10,80.5,79.739998,81.220001,79.610001
2023-04-09,80.5,80.769997,80.800003,80.5
2023-04-06,80.370003,80.699997,80.959999,79.650002
2023-04-05,81.010002,80.610001,81.239998,79.720001
2023-04-04,80.440002,80.709999,81.809998,79.610001
2023-04-03,80.099998,80.419998,81.690002,79.0
2023-04-02,80.099998,81.25,81.690002,79.800003
2023-03-31,74.370003,75.669998,75.720001,73.769997
2023-03-30,72.980003,74.370003,74.629997,72.610001
2023-03-29,73.610001,72.970001,74.370003,72.760002
2023-03-28,72.860001,73.199997,73.93,72.190002
2023-03-27,69.419998,72.809998,73.099998,69.129997
2023-03-26,69.419998,69.779999,69.860001,69.349998
2023-03-24,69.510002,69.260002,70.379997,66.82
2023-03-23,69.949997,69.959999,71.669998,69.139999
2023-03-22,69.480003,70.900002,71.309998,68.889999
2023-03-21,67.620003,69.330002,69.599998,66.769997
2023-03-20,66.620003,67.639999,67.699997,64.120003
2023-03-19,66.620003,66.339996,67.449997,66.32
2023-03-17,68.260002,66.739998,69.639999,65.169998
2023-03-16,68.220001,68.349998,69.379997,65.709999
2023-03-15,71.559998,67.610001,72.559998,65.650002
2023-03-14,74.699997,71.330002,74.900002,70.779999
2023-03-13,76.599998,74.800003,77.470001,72.300003
2023-03-12,76.599998,76.230003,76.82,76.230003
2023-03-10,75.650002,76.68,77.110001,74.769997
2023-03-09,76.5,75.720001,78.059998,75.43
2023-03-08,77.32,76.660004,77.730003,76.110001
2023-03-07,80.5,77.580002,80.940002,77.059998
2023-03-06,79.919998,80.459999,80.629997,78.32
2023-03-03,77.889999,79.68,79.900002,75.830002
2023-03-02,77.739998,78.160004,78.589996,77.230003
2023-03-01,76.849998,77.690002,77.849998,76.120003
2023-02-28,75.760002,77.050003,77.830002,75.550003
2023-02-27,76.419998,75.68,76.82,74.989998
2023-02-24,75.599998,76.32,76.629997,74.089996
2023-02-23,73.919998,75.389999,75.989998,73.830002
2023-02-22,76.110001,73.949997,76.550003,73.800003
