,open,close,high,low
2023-04-10,382.700012,382.0,395.700012,379.5
2023-04-06,381.0,384.899994,385.899994,372.700012
2023-04-05,379.5,384.0,391.200012,375.600006
2023-04-04,376.100006,377.100006,378.100006,373.399994
2023-04-03,374.299988,370.700012,379.399994,370.200012
2023-03-31,376.600006,371.399994,380.600006,368.600006
2023-03-30,377.0,376.600006,384.799988,373.100006
2023-03-29,383.399994,376.100006,383.5,373.799988
2023-03-28,397.5,382.200012,397.5,382.0
2023-03-27,407.700012,397.899994,409.899994,393.899994
2023-03-24,411.100006,413.5,416.5,406.299988
2023-03-23,428.799988,411.200012,431.299988,407.600006
2023-03-22,441.399994,431.5,441.399994,425.700012
2023-03-21,442.299988,440.700012,448.700012,437.0
2023-03-20,450.100006,444.399994,468.0,440.0
2023-03-17,445.0,451.5,456.600006,440.0
2023-03-16,415.0,438.600006,438.600006,415.0
2023-03-15,348.799988,347.5,348.799988,347.0
2023-03-14,350.299988,344.0,359.899994,336.5
2023-03-13,353.899994,353.600006,358.5,350.0
2023-03-10,359.0,356.0,359.0,352.799988
2023-03-09,362.5,362.0,370.100006,362.0
2023-03-08,360.0,363.5,370.0,360.0
2023-03-07,365.200012,364.5,367.0,361.0
2023-03-06,367.0,370.0,376.0,367.0
2023-03-03,365.0,370.799988,371.5,360.5
2023-03-02,370.200012,371.799988,375.0,360.399994
2023-03-01,390.0,376.700012,395.600006,374.0
2023-02-28,395.700012,402.799988,406.899994,394.899994
2023-02-27,388.0,395.700012,402.5,388.0
2023-02-24,373.799988,387.100006,388.899994,373.0
2023-02-23,375.100006,372.600006,378.299988,370.399994
2023-02-22,378.299988,374.0,381.299988,371.299988
2023-02-21,378.600006,379.700012,383.899994,376.299988
2023-02-17,388.0,382.100006,388.0,376.600006
2023-02-16,404.0,389.399994,404.399994,388.200012
2023-02-15,399.0,400.899994,405.200012,390.299988
2023-02-14,419.399994,402.700012,419.399994,402.100006
2023-02-13,416.700012,414.100006,423.299988,408.100006
2023-02-10,434.5,419.600006,434.5,417.399994
2023-02-09,443.0,433.600006,453.0,433.0
2023-02-08,463.0,454.100006,464.0,448.100006
2023-02-07,484.899994,469.5,484.899994,469.100006
2023-02-06,495.299988,486.700012,498.799988,476.200012
2023-02-03,507.0,499.799988,515.0,495.100006
2023-02-02,508.799988,512.200012,514.200012,503.600006
2023-02-01,524.900024,509.600006,533.700012,506.899994
2023-01-31,514.900024,524.099976,528.099976,505.899994
2023-01-30,496.0,516.5,516.5,496.0
2023-01-27,517.0,492.5,524.200012,490.5
2023-01-26,488.200012,488.200012,488.200012,488.200012
2023-01-25,468.0,464.200012,481.399994,461.600006
2023-01-24,438.299988,458.899994,458.899994,438.299988
2023-01-23,426.700012,434.899994,437.700012,422.0
2023-01-20,428.299988,430.799988,435.0,425.0
2023-01-19,423.600006,431.299988,438.799988,419.0
2023-01-18,430.5,426.200012,438.0,422.0
2023-01-17,430.0,429.899994,448.0,426.100006
2023-01-13,350.0,344.0,359.0,342.0
2023-01-12,340.799988,351.799988,355.0,338.0
2023-01-11,345.899994,345.0,359.0,340.200012
2023-01-10,350.0,348.0,350.0,342.399994
2023-01-09,359.0,350.0,359.0,348.600006
2023-01-06,359.5,354.0,359.5,349.0
2023-01-05,359.5,354.100006,361.799988,352.100006
2023-01-04,366.0,360.5,370.0,360.5
2023-01-03,370.200012,363.5,370.200012,362.0
2022-12-30,381.600006,373.700012,381.600006,370.700012
2022-12-29,396.0,383.799988,396.0,380.399994
2022-12-28,396.799988,393.600006,400.700012,391.700012
2022-12-27,381.600006,396.399994,401.799988,377.600006
2022-12-23,380.200012,384.0,387.799988,379.399994
2022-12-22,372.0,381.5,381.899994,372.0
2022-12-21,375.100006,377.899994,378.799988,368.399994
2022-12-20,374.899994,375.100006,380.899994,362.399994
2022-12-19,387.200012,376.299988,389.799988,370.399994
2022-12-16,390.0,388.399994,391.899994,379.700012
2022-12-15,391.200012,395.0,396.0,387.899994
2022-12-14,401.700012,397.0,405.799988,391.200012
2022-12-13,418.799988,406.0,426.399994,404.0
2022-12-12,415.0,410.799988,415.0,407.5
2022-12-09,407.899994,412.5,414.5,403.5
2022-12-08,434.0,412.5,434.600006,410.100006
2022-12-07,414.5,429.399994,436.399994,412.299988
2022-12-06,405.200012,415.100006,415.100006,398.600006
2022-12-05,395.5,391.100006,402.5,382.799988
2022-12-02,405.700012,396.0,406.600006,389.399994
2022-12-01,430.0,411.0,432.200012,405.600006
2022-11-30,424.0,429.399994,429.5,417.0
2022-11-29,423.200012,423.799988,428.700012,416.5
2022-11-28,422.799988,422.5,431.0,418.899994
2022-11-25,437.100006,422.299988,439.399994,422.299988
2022-11-23,427.100006,432.0,442.5,422.299988
2022-11-22,440.899994,429.700012,445.0,426.100006
2022-11-21,425.100006,435.0,445.0,425.100006
2022-11-18,431.0,426.5,438.700012,425.100006
2022-11-17,428.0,440.399994,445.0,424.0
2022-11-16,429.299988,430.0,437.299988,421.200012
2022-11-15,450.0,454.799988,460.0,450.0
2022-11-14,441.5,447.200012,448.0,425.0
2022-11-11,440.200012,444.600006,452.799988,439.799988
2022-11-10,456.399994,460.0,460.0,450.399994
2022-11-09,458.0,460.0,460.0,453.5
2022-11-08,459.299988,451.100006,459.299988,450.0
2022-11-07,438.0,455.0,458.799988,438.0
2022-11-04,435.200012,435.0,435.200012,420.200012
2022-11-03,448.5,435.0,449.0,426.600006
2022-11-02,458.799988,450.0,465.299988,450.0
2022-11-01,460.100006,457.600006,469.0,457.600006
2022-10-31,465.5,461.600006,470.0,459.100006
2022-10-28,476.5,467.0,480.0,465.5
2022-10-27,492.899994,485.0,493.0,477.399994
2022-10-26,482.899994,496.899994,496.899994,470.899994
2022-10-25,500.899994,488.399994,500.899994,486.600006
2022-10-24,528.700012,506.5,541.5,502.700012
2022-10-21,543.5,539.0,550.0,531.200012
2022-10-20,520.400024,533.700012,538.799988,520.400024
2022-10-19,511.899994,531.099976,540.0,508.0
2022-10-18,513.900024,517.099976,518.700012,491.0
2022-10-17,492.200012,509.600006,520.400024,485.5
2022-10-14,497.799988,494.0,503.399994,487.100006
2022-10-13,466.5,498.299988,498.5,463.600006
2022-10-12,479.799988,488.899994,497.0,473.5
2022-10-11,458.200012,478.700012,485.200012,454.399994
2022-10-10,448.600006,452.700012,452.700012,432.100006
2022-10-07,444.299988,445.600006,459.0,437.600006
2022-10-06,441.399994,454.700012,468.600006,441.299988
2022-10-05,434.0,436.600006,437.600006,421.200012
2022-10-04,436.0,434.0,448.0,426.200012
2022-10-03,437.700012,426.0,442.299988,421.299988
2022-09-30,418.700012,422.5,429.700012,412.5
2022-09-29,431.899994,410.899994,432.399994,402.799988
2022-09-28,443.700012,432.799988,451.0,420.100006
2022-09-27,426.100006,429.299988,448.5,422.0
2022-09-26,432.700012,410.799988,443.899994,410.700012
2022-09-23,451.799988,435.0,455.0,430.100006
2022-09-22,489.899994,460.200012,489.899994,460.0
2022-09-21,521.700012,496.0,522.200012,492.100006
2022-09-20,503.600006,515.700012,527.0,502.0
2022-09-19,479.100006,482.200012,486.399994,461.399994
2022-09-16,488.899994,481.200012,488.899994,469.5
2022-09-15,499.0,483.5,499.0,482.0
