,open,close,high,low
2023-04-21,337.0,337.0,338.75,334.5
2023-04-20,347.5,342.5,347.5,341.0
2023-04-19,347.0,347.25,352.75,344.5
2023-04-18,343.25,347.5,349.0,339.0
2023-04-17,338.0,342.0,343.0,337.5
2023-04-16,333.5,333.0,333.5,332.75
2023-04-14,333.75,336.0,338.75,333.75
2023-04-13,334.75,332.25,338.75,331.75
2023-04-12,340.0,335.75,340.0,334.5
2023-04-11,341.5,340.25,343.75,339.0
2023-04-10,339.25,340.5,348.25,337.75
2023-04-09,339.25,343.0,343.0,339.25
2023-04-06,341.0,340.25,344.5,334.25
2023-04-05,340.25,338.0,348.75,338.0
2023-04-04,350.0,341.0,353.0,336.0
2023-04-03,364.5,348.25,368.75,348.25
2023-04-02,364.5,364.25,365.0,364.0
2023-03-31,371.0,364.25,373.5,361.0
2023-03-30,374.5,372.75,378.0,370.25
2023-03-29,379.25,376.0,385.75,374.0
2023-03-28,378.0,379.25,380.0,372.75
2023-03-27,367.25,377.25,379.25,366.0
2023-03-26,367.25,367.25,368.5,367.25
2023-03-24,360.0,368.5,369.5,359.75
2023-03-23,357.5,361.5,368.75,356.75
2023-03-22,356.5,362.5,367.0,355.5
2023-03-21,356.5,359.0,362.5,356.5
2023-03-20,345.75,355.75,361.75,345.25
2023-03-19,345.75,346.25,347.0,345.75
2023-03-17,347.25,348.0,349.0,346.0
2023-03-16,347.25,346.5,349.25,343.25
2023-03-15,349.0,347.5,352.0,343.25
2023-03-14,340.25,340.25,340.25,340.25
2023-03-13,349.75,345.75,349.75,345.75
2023-03-12,348.0,346.75,348.5,346.75
2023-03-10,343.0,343.0,343.0,343.0
2023-03-09,344.75,344.75,344.75,344.75
2023-03-08,345.25,345.25,345.25,345.25
2023-03-07,337.75,337.75,337.75,337.75
2023-03-06,321.25,321.25,321.25,321.25
2023-03-03,336.5,336.5,336.5,336.5
2023-03-02,338.25,338.25,338.25,338.25
2023-03-01,353.0,353.0,353.0,339.0
2023-02-28,356.0,359.75,370.0,336.75
2023-02-27,380.0,378.25,384.5,355.0
2023-02-24,372.75,379.0,389.0,370.75
2023-02-23,365.0,371.25,372.75,360.5
2023-02-22,362.0,364.25,367.5,356.5
2023-02-21,363.75,364.25,369.25,360.25
2023-02-17,364.5,363.75,375.25,361.0
2023-02-16,356.5,363.0,364.5,348.25
2023-02-15,368.5,357.0,368.5,355.0
2023-02-14,370.0,365.75,371.0,364.25
2023-02-13,376.5,373.25,376.5,370.0
2023-02-10,382.5,376.75,382.5,368.0
2023-02-09,383.0,381.0,388.5,378.25
2023-02-08,382.75,386.5,389.0,381.0
2023-02-07,386.0,384.75,392.5,382.0
2023-02-06,384.0,383.75,388.0,380.5
2023-02-03,392.25,383.5,392.75,378.75
2023-02-02,393.25,389.25,394.75,385.5
2023-02-01,393.25,393.0,398.75,385.0
2023-01-31,392.25,394.0,396.25,391.75
2023-01-30,387.75,391.5,396.0,387.75
2023-01-27,387.25,388.25,390.25,384.75
2023-01-26,377.0,386.25,386.75,367.75
2023-01-25,375.25,378.0,386.0,373.0
2023-01-24,370.25,375.0,375.75,368.5
2023-01-23,369.75,370.75,372.0,360.75
2023-01-20,365.5,371.0,372.0,365.25
2023-01-19,368.0,368.25,373.0,362.0
2023-01-18,369.0,370.5,374.75,365.5
2023-01-17,362.0,371.5,372.25,361.5
2023-01-13,358.75,364.0,367.75,358.0
2023-01-12,350.0,361.25,362.25,350.0
2023-01-11,343.25,349.25,351.25,340.0
2023-01-10,340.5,341.0,345.75,334.5
2023-01-09,345.0,339.0,348.75,336.25
2023-01-06,349.0,344.25,353.75,340.0
2023-01-05,357.5,345.75,361.25,345.0
2023-01-04,364.0,357.75,364.75,354.25
2023-01-03,366.0,363.5,367.5,360.0
2022-12-30,369.5,367.25,372.5,365.25
2022-12-29,375.0,370.0,375.0,362.75
2022-12-28,368.25,376.5,377.25,368.25
2022-12-27,364.5,370.5,377.5,364.5
2022-12-23,354.25,363.5,367.0,351.0
2022-12-22,345.75,354.5,355.75,343.5
2022-12-21,338.25,346.25,350.0,338.0
2022-12-20,331.75,336.5,339.25,330.0
2022-12-19,337.25,333.25,337.5,329.75
2022-12-16,341.0,338.5,342.0,334.25
2022-12-15,341.25,341.0,343.25,338.0
2022-12-14,410.0,410.0,410.0,410.0
2022-12-13,361.25,361.25,361.25,361.25
2022-12-12,361.25,361.25,361.25,361.25
2022-12-09,371.5,354.5,371.5,354.5
2022-12-08,333.5,333.5,333.5,333.5
2022-12-07,336.25,336.25,336.25,336.25
2022-12-06,355.0,340.5,355.5,340.5
2022-12-05,339.25,339.25,339.25,339.25
2022-12-02,377.5,361.25,377.5,360.0
2022-12-01,379.5,378.75,379.5,378.0
2022-11-30,390.0,393.5,393.5,389.0
2022-11-29,389.75,392.0,392.5,382.0
2022-11-28,390.25,387.5,394.0,386.0
2022-11-25,394.0,390.25,396.75,390.25
2022-11-23,400.0,394.75,400.0,391.5
2022-11-22,399.25,399.75,402.75,395.5
2022-11-21,395.0,398.75,399.25,391.75
2022-11-18,395.5,396.25,398.25,390.25
2022-11-17,397.0,394.5,397.5,390.25
2022-11-16,397.0,395.5,400.0,387.5
2022-11-15,394.0,398.0,399.25,389.75
2022-11-14,388.0,394.25,394.75,386.0
2022-11-11,379.0,387.0,387.5,377.75
2022-11-10,385.25,378.25,388.0,376.5
2022-11-09,388.0,380.5,388.0,376.25
2022-11-08,383.25,380.75,385.5,375.75
2022-11-07,388.5,385.25,390.0,380.0
2022-11-04,387.0,390.75,395.5,385.25
2022-11-03,387.0,384.5,391.25,380.0
2022-11-02,399.5,391.0,400.5,376.75
2022-11-01,390.75,399.5,400.0,386.0
2022-10-31,375.75,389.0,392.75,375.75
2022-10-28,360.0,366.5,368.0,352.25
2022-10-27,360.5,358.5,362.5,350.75
2022-10-26,356.5,356.5,360.0,347.25
2022-10-25,366.75,357.5,366.75,338.5
2022-10-24,380.5,362.25,384.25,355.5
2022-10-21,381.25,376.25,381.25,371.0
2022-10-20,374.0,375.5,385.25,373.25
2022-10-19,387.5,374.75,392.5,373.0
2022-10-18,390.0,387.25,393.25,382.75
2022-10-17,399.75,389.0,402.5,386.25
2022-10-14,407.5,397.75,408.75,392.0
2022-10-13,401.0,407.5,410.0,399.5
2022-10-12,393.75,402.5,404.5,393.75
2022-10-11,386.0,392.25,398.75,385.25
2022-10-10,381.5,384.75,394.75,381.25
2022-10-07,399.75,379.0,400.0,377.25
2022-10-06,399.0,397.0,405.0,391.5
2022-10-05,403.5,402.5,404.25,396.0
2022-10-04,399.0,403.5,406.5,398.0
2022-10-03,388.0,400.5,401.75,387.75
2022-09-30,383.75,390.0,400.0,382.0
2022-09-29,382.5,382.75,391.75,380.75
2022-09-28,374.75,378.0,383.5,370.25
2022-09-27,376.5,370.0,387.75,369.0
2022-09-26,398.75,378.5,399.0,376.5
2022-09-23,417.5,395.0,417.5,392.25
2022-09-22,418.0,417.0,419.75,411.0
2022-09-21,415.0,417.75,420.0,410.25
2022-09-20,401.25,413.25,417.0,401.25
2022-09-19,396.25,402.25,406.0,396.25
2022-09-16,397.5,396.0,399.75,390.5
2022-09-15,402.5,394.25,404.25,384.0
2022-09-14,416.25,416.25,416.25,416.25
2022-09-13,416.5,416.5,416.5,416.5
2022-09-12,424.5,424.5,424.5,424.5
2022-09-09,404.5,407.75,407.75,404.5
2022-09-08,390.75,390.75,390.75,390.75
2022-09-07,391.0,391.0,391.0,391.0
2022-09-06,408.0,398.25,408.0,398.25
2022-09-02,394.25,394.25,394.25,394.25
2022-09-01,404.5,386.0,404.5,354.5
2022-08-31,402.5,404.75,404.75,402.5
2022-08-30,413.5,402.5,417.0,397.0
2022-08-29,417.0,416.25,426.0,408.25
2022-08-26,405.0,417.75,418.75,403.5
