,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum
0,2000-03-24,12.6,-6.6,5.7,0.0
1,2000-03-25,15.0,-1.0,8.7,0.0
2,2000-03-26,18.7,2.4,11.2,0.0
3,2000-03-27,22.9,1.5,14.8,0.0
4,2000-03-28,22.8,7.2,14.8,0.0
5,2000-03-29,20.1,6.2,13.2,0.0
6,2000-03-30,17.7,3.3,11.8,0.0
7,2000-03-31,14.7,2.4,9.2,0.0
8,2000-04-01,16.8,2.9,10.6,0.0
9,2000-04-02,17.6,2.9,11.4,0.0
10,2000-04-03,15.7,0.6,9.2,0.0
11,2000-04-04,17.6,0.6,11.5,0.0
12,2000-04-05,17.9,3.0,11.5,0.0
13,2000-04-06,18.9,3.7,12.9,0.0
14,2000-04-07,20.1,4.0,12.5,0.0
15,2000-04-08,15.2,1.7,9.2,0.0
16,2000-04-09,16.2,1.7,9.9,0.0
17,2000-04-10,19.4,2.8,13.7,0.0
18,2000-04-11,22.7,4.2,14.7,1.6
19,2000-04-12,9.0,-0.9,4.4,7.9
20,2000-04-13,12.0,-1.1,6.6,0.0
21,2000-04-14,15.6,0.4,8.5,0.0
22,2000-04-15,20.5,0.9,12.4,0.0
23,2000-04-16,20.6,6.5,13.6,0.0
24,2000-04-17,20.0,6.9,14.0,0.0
25,2000-04-18,11.7,2.9,7.9,0.5
26,2000-04-19,17.5,3.5,11.5,0.1
27,2000-04-20,19.7,1.9,12.5,0.0
28,2000-04-21,20.4,2.2,14.2,0.0
29,2000-04-22,23.1,6.3,17.2,0.0
30,2000-04-23,18.9,5.5,13.5,0.0
31,2000-04-24,19.7,6.4,13.9,0.0
32,2000-04-25,21.5,7.0,16.0,0.0
33,2000-04-26,23.4,9.6,17.6,0.0
34,2000-04-27,21.6,6.1,14.5,0.0
35,2000-04-28,17.4,1.8,11.1,0.0
36,2000-04-29,23.4,2.8,15.5,0.0
37,2000-04-30,25.5,5.6,18.4,0.0
38,2000-05-01,25.5,10.4,18.6,0.0
39,2000-05-02,28.4,12.0,22.3,0.0
40,2000-05-03,27.0,12.4,21.0,0.0
41,2000-05-04,25.9,12.2,19.7,0.0
42,2000-05-05,27.8,13.0,21.3,0.0
43,2000-05-06,26.7,8.4,17.9,0.0
44,2000-05-07,18.3,5.0,12.1,0.5
45,2000-05-08,22.9,6.3,16.8,0.0
46,2000-05-09,27.0,13.4,20.9,0.0
47,2000-05-10,24.6,11.2,18.7,1.5
48,2000-05-11,29.5,12.7,23.2,0.0
49,2000-05-12,28.8,15.0,22.8,1.0
50,2000-05-13,24.5,10.0,18.2,0.6
51,2000-05-14,24.3,11.6,18.7,0.2
52,2000-05-15,24.6,11.4,18.6,0.0
53,2000-05-16,24.8,10.0,18.6,0.0
54,2000-05-17,27.2,11.5,21.1,0.0
55,2000-05-18,29.8,14.4,23.6,0.0
56,2000-05-19,32.1,13.5,25.4,0.0
57,2000-05-20,33.3,14.8,26.3,0.0
58,2000-05-21,32.5,18.3,26.4,0.0
59,2000-05-22,31.1,13.7,23.4,0.0
60,2000-05-23,30.5,15.2,23.4,0.0
61,2000-05-24,20.2,9.4,16.0,0.0
62,2000-05-25,25.7,10.4,19.5,0.0
63,2000-05-26,28.5,12.0,23.2,0.0
64,2000-05-27,30.7,16.0,25.3,0.0
65,2000-05-28,28.2,12.2,21.2,0.0
66,2000-05-29,28.5,14.4,22.2,0.0
67,2000-05-30,29.6,15.8,24.3,0.0
68,2000-05-31,28.8,16.3,23.7,0.0
69,2000-06-01,29.4,17.4,24.3,0.0
70,2000-06-02,32.7,18.2,26.8,0.0
71,2000-06-03,34.7,18.4,27.9,0.0
72,2000-06-04,33.9,13.8,23.6,0.0
73,2000-06-05,18.3,9.8,14.2,1.9
74,2000-06-06,21.9,11.1,17.9,0.0
75,2000-06-07,28.3,14.1,22.6,0.0
76,2000-06-08,31.9,16.4,26.1,0.0
77,2000-06-09,33.8,18.2,27.6,0.0
78,2000-06-10,36.4,20.7,29.8,0.0
79,2000-06-11,31.9,20.0,26.8,0.0
80,2000-06-12,23.1,11.6,17.7,1.6
81,2000-06-13,24.2,12.8,18.4,0.4
82,2000-06-14,29.5,14.2,23.2,0.0
83,2000-06-15,28.0,15.0,22.3,0.0
84,2000-06-16,28.4,15.7,23.3,0.0
85,2000-06-17,31.0,17.7,25.5,0.0
86,2000-06-18,32.2,19.5,27.1,0.0
87,2000-06-19,31.8,19.7,26.5,0.0
88,2000-06-20,34.4,21.2,28.4,0.0
89,2000-06-21,29.9,19.3,24.9,0.0
90,2000-06-22,30.8,21.0,26.1,0.0
91,2000-06-23,23.1,15.1,19.0,9.9
92,2000-06-24,19.9,14.8,17.2,6.1
93,2000-06-25,24.7,16.0,20.7,1.2
94,2000-06-26,24.5,15.7,20.1,5.3
95,2000-06-27,26.6,15.2,20.5,1.9
96,2000-06-28,29.9,16.2,23.3,0.4
97,2000-06-29,32.2,17.2,25.4,0.0
98,2000-06-30,29.4,17.8,24.1,0.0
99,2000-07-01,29.4,16.4,23.9,0.2
100,2000-07-02,32.1,17.7,26.4,0.0
101,2000-07-03,34.0,16.9,26.0,0.3
102,2000-07-04,31.5,18.0,25.9,0.0
103,2000-07-05,28.1,17.4,23.8,0.0
104,2000-07-06,30.2,15.7,24.5,0.0
105,2000-07-07,33.8,17.2,27.4,0.0
106,2000-07-08,35.7,19.3,29.7,0.0
107,2000-07-09,36.0,21.7,30.5,0.0
108,2000-07-10,39.1,24.3,32.6,0.0
109,2000-07-11,40.2,25.9,34.2,0.0
110,2000-07-12,40.0,24.4,33.8,0.0
111,2000-07-13,40.2,25.4,33.5,0.0
112,2000-07-14,38.9,25.8,32.6,0.0
113,2000-07-15,38.5,25.1,32.2,0.0
114,2000-07-16,34.2,22.1,28.5,0.0
115,2000-07-17,34.7,21.7,29.3,0.0
116,2000-07-18,34.0,19.6,26.7,0.0
117,2000-07-19,33.2,20.3,28.0,0.0
118,2000-07-20,33.8,23.8,29.1,0.0
119,2000-07-21,33.4,22.1,28.2,0.0
120,2000-07-22,38.3,23.1,32.0,0.0
121,2000-07-23,36.6,19.7,27.2,0.0
122,2000-07-24,33.4,20.2,27.8,0.4
123,2000-07-25,30.4,22.1,27.0,0.4
124,2000-07-26,26.4,14.0,22.6,2.5
125,2000-07-27,30.7,14.7,24.4,0.0
126,2000-07-28,29.7,16.5,24.2,0.0
127,2000-07-29,32.3,17.0,26.1,0.0
128,2000-07-30,29.1,17.3,24.6,0.0
129,2000-07-31,29.3,15.3,24.0,0.0
130,2000-08-01,32.3,16.2,26.3,0.0
131,2000-08-02,32.1,18.2,26.7,0.0
132,2000-08-03,29.8,20.8,25.8,0.0
133,2000-08-04,32.3,16.5,25.2,1.3
134,2000-08-05,26.3,15.8,20.8,8.8
135,2000-08-06,25.4,15.6,20.7,0.1
136,2000-08-07,29.6,15.5,23.3,0.0
137,2000-08-08,32.7,16.3,25.8,0.0
138,2000-08-09,35.3,17.9,29.0,0.0
139,2000-08-10,37.0,23.2,30.7,0.0
140,2000-08-11,32.8,18.2,27.0,0.0
141,2000-08-12,27.2,14.2,21.5,0.5
142,2000-08-13,28.9,13.3,22.5,0.0
143,2000-08-14,31.6,13.7,25.0,0.0
144,2000-08-15,31.0,15.5,24.1,0.0
145,2000-08-16,30.7,14.7,24.1,0.0
146,2000-08-17,32.5,15.8,26.7,0.0
147,2000-08-18,36.1,19.2,29.1,0.0
148,2000-08-19,30.0,16.1,23.1,0.1
149,2000-08-20,25.8,13.1,20.6,0.7
150,2000-08-21,28.8,13.6,22.8,0.0
151,2000-08-22,31.1,14.6,25.1,0.0
152,2000-08-23,32.8,17.6,27.5,0.0
153,2000-08-24,32.4,13.1,23.8,0.0
154,2000-08-25,26.5,11.4,19.7,0.0
155,2000-08-26,28.4,10.7,20.8,0.0
156,2000-08-27,29.5,12.5,22.1,0.0
157,2000-08-28,31.6,12.7,24.9,0.0
158,2000-08-29,31.2,16.8,24.9,0.0
159,2000-08-30,33.6,17.5,27.9,0.0
160,2000-08-31,32.5,19.3,26.0,0.0
161,2000-09-01,23.8,8.8,17.4,0.6
162,2000-09-02,21.2,8.7,15.6,0.0
163,2000-09-03,22.1,8.8,16.0,0.0
164,2000-09-04,23.3,9.3,17.0,0.0
165,2000-09-05,25.6,10.7,19.3,0.0
166,2000-09-06,26.0,12.8,19.9,0.0
167,2000-09-07,27.3,12.8,21.5,0.0
168,2000-09-08,28.3,13.5,21.8,0.0
169,2000-09-09,28.6,12.9,21.7,0.0
170,2000-09-10,27.6,13.9,21.7,0.0
171,2000-09-11,27.3,15.8,21.8,0.0
172,2000-09-12,26.5,14.8,21.7,0.0
173,2000-09-13,28.4,13.5,22.3,0.0
174,2000-09-14,29.5,12.6,22.2,0.0
175,2000-09-15,30.5,13.4,23.3,0.0
176,2000-09-16,29.4,13.8,21.5,0.0
177,2000-09-17,25.5,11.4,19.2,0.1
178,2000-09-18,25.3,10.8,19.4,0.0
179,2000-09-19,26.5,9.8,20.1,0.0
180,2000-09-20,28.4,11.9,21.0,0.0
181,2000-09-21,23.9,12.3,18.0,0.0
182,2000-09-22,23.6,10.9,17.4,0.0
183,2000-09-23,23.6,10.4,17.0,0.0
184,2000-09-24,24.0,9.0,17.3,0.0
185,2000-09-25,25.2,7.9,18.5,0.0
186,2000-09-26,26.2,9.7,18.8,0.0
187,2000-09-27,18.7,7.4,13.3,0.0
188,2000-09-28,19.7,6.8,13.6,0.0
189,2000-09-29,20.6,6.8,15.3,0.1
190,2000-09-30,21.9,7.2,15.8,0.0
191,2000-10-01,21.9,6.3,14.4,0.0
192,2000-10-02,21.5,6.4,15.0,0.0
193,2000-10-03,22.0,7.8,14.9,0.0
194,2000-10-04,20.9,7.8,14.5,0.0
195,2000-10-05,22.6,7.3,14.2,0.0
196,2000-10-06,15.9,4.5,11.0,0.0
197,2000-10-07,18.9,3.6,12.5,0.0
198,2000-10-08,16.1,2.8,9.8,0.2
199,2000-10-09,8.0,-4.8,2.6,0.0
200,2000-10-10,8.7,-5.4,1.7,0.0
201,2000-10-11,10.8,-5.6,3.8,0.0
202,2000-10-12,12.2,-2.3,5.5,0.0
203,2000-10-13,13.4,-2.7,6.1,0.0
204,2000-10-14,14.6,-2.4,7.3,0.0
205,2000-10-15,16.9,-1.6,9.5,0.0
206,2000-10-16,19.3,1.9,11.9,0.0
207,2000-10-17,12.2,1.0,6.4,0.5
208,2000-10-18,7.9,-6.7,2.1,0.0
209,2000-10-19,8.9,-7.5,2.7,0.0
210,2000-10-20,9.2,-3.8,3.5,0.0
211,2000-10-21,10.9,-2.1,5.0,0.5
212,2000-10-22,9.0,-1.5,3.9,2.4
213,2000-10-23,2.4,-11.1,-3.0,0.0
214,2000-10-24,5.7,-11.7,-1.0,0.0
215,2000-10-25,8.0,-5.9,1.1,0.0
216,2000-10-26,9.1,-6.3,2.6,0.0
217,2000-10-27,4.0,-5.1,0.2,0.7
218,2000-10-28,7.2,-6.2,1.5,0.0
219,2000-10-29,8.7,-3.0,3.2,0.0
220,2000-10-30,11.4,-4.3,3.6,0.0
221,2000-10-31,12.0,-3.2,4.3,0.0
222,2000-11-01,12.2,-4.0,5.2,0.0
223,2000-11-02,8.7,-3.0,2.9,0.8
224,2000-11-03,4.9,-5.7,-0.1,0.0
225,2000-11-04,9.1,-6.7,2.2,0.0
226,2000-11-05,5.3,-7.8,-1.0,0.0
