,open,close,high,low
2023-04-20,850.75,827.25,852.25,822.5
2023-04-19,882.0,861.75,883.0,861.25
2023-04-18,887.5,881.25,898.75,876.0
2023-04-17,884.0,889.75,891.0,862.0
2023-04-16,884.0,862.75,884.0,875.25
2023-04-14,846.0,878.75,881.0,840.25
2023-04-13,861.5,845.25,863.25,839.5
2023-04-12,868.75,863.5,881.75,861.0
2023-04-11,878.75,868.25,886.0,864.25
2023-04-10,876.75,876.0,882.5,862.75
2023-04-09,855.75,877.75,879.25,871.75
2023-04-06,862.0,864.5,877.5,860.0
2023-04-05,870.5,861.5,874.5,853.25
2023-04-04,876.25,872.5,888.25,868.25
2023-04-03,887.0,875.25,902.0,874.5
2023-04-02,887.0,884.75,874.0,866.75
2023-03-31,870.0,877.75,887.75,864.0
2023-03-30,870.5,871.5,881.25,865.25
2023-03-29,869.5,870.5,896.5,867.0
2023-03-28,860.0,872.5,874.0,855.75
2023-03-27,848.75,860.25,870.0,840.25
2023-03-26,848.75,848.25,851.5,844.75
2023-03-24,819.75,848.0,861.25,814.0
2023-03-23,813.0,819.75,831.5,810.25
2023-03-22,818.5,811.25,822.75,791.25
2023-03-21,829.25,820.25,843.0,815.0
2023-03-20,830.25,829.75,833.75,820.0
2023-03-19,830.25,824.5,832.25,824.0
2023-03-17,819.0,835.75,837.75,817.25
2023-03-16,819.0,819.75,821.5,809.25
2023-03-15,817.0,819.75,824.75,812.5
2023-03-14,813.5,813.5,813.5,813.5
2023-03-13,813.5,813.5,813.5,813.5
2023-03-12,802.25,800.75,803.5,798.75
2023-03-10,799.5,811.25,811.25,799.5
2023-03-09,786.25,786.25,786.25,786.25
2023-03-08,806.5,806.5,806.5,806.5
2023-03-07,811.75,805.5,811.75,805.5
2023-03-06,808.0,804.0,818.5,804.0
2023-03-03,837.5,822.5,839.5,822.5
2023-03-02,823.0,832.25,832.5,823.0
2023-03-01,818.25,821.25,823.0,818.25
2023-02-28,823.0,815.75,826.0,813.0
2023-02-27,842.0,823.0,843.5,818.25
2023-02-24,862.0,841.75,864.0,831.0
2023-02-23,876.25,861.75,879.75,859.0
2023-02-22,904.25,876.0,908.25,875.0
2023-02-21,909.5,904.25,915.25,902.0
2023-02-17,900.0,906.5,908.25,896.5
2023-02-16,892.75,898.5,901.75,892.5
2023-02-15,906.0,894.5,909.0,888.5
2023-02-14,908.5,906.0,921.5,904.25
2023-02-13,910.25,912.25,916.25,896.25
2023-02-10,878.0,909.0,913.25,877.0
2023-02-09,895.25,879.0,898.0,877.0
2023-02-08,885.0,896.0,898.5,883.25
2023-02-07,875.0,885.75,888.0,870.5
2023-02-06,872.5,876.0,886.5,869.0
2023-02-03,878.25,873.0,890.0,868.0
2023-02-02,882.75,880.75,892.75,870.5
2023-02-01,878.0,884.25,885.0,871.25
2023-01-31,873.0,878.75,882.5,859.25
2023-01-30,871.0,873.75,883.5,869.0
2023-01-27,863.0,869.25,873.0,853.5
2023-01-26,841.75,864.75,870.75,841.25
2023-01-25,835.0,843.25,852.5,833.75
2023-01-24,821.0,833.75,842.0,818.5
2023-01-23,842.0,819.0,844.5,811.0
2023-01-20,832.5,848.0,849.0,823.5
2023-01-19,840.75,832.0,849.75,831.5
2023-01-18,853.5,841.5,866.25,839.75
2023-01-17,843.75,855.75,858.5,828.0
2023-01-13,832.25,843.75,847.0,832.25
2023-01-12,823.5,835.0,839.0,810.5
2023-01-11,810.75,822.25,823.0,805.25
2023-01-10,828.0,811.75,828.5,803.25
2023-01-09,835.25,828.5,842.75,827.0
2023-01-06,841.0,832.0,846.0,830.5
2023-01-05,841.75,839.75,849.25,832.5
2023-01-04,872.0,840.75,872.25,836.5
2023-01-03,880.25,869.25,888.0,862.0
2022-12-30,866.75,888.0,894.0,864.75
2022-12-29,881.75,866.5,884.0,861.0
2022-12-28,880.0,882.25,891.75,875.5
2022-12-27,878.75,879.25,894.75,868.75
2022-12-23,865.25,874.75,877.5,863.25
2022-12-22,862.0,866.0,873.0,861.0
2022-12-21,846.75,864.0,866.75,844.25
2022-12-20,845.5,847.0,859.5,842.75
2022-12-19,845.0,843.5,849.0,830.75
2022-12-16,858.5,844.0,864.25,843.0
2022-12-15,850.0,860.5,866.75,844.0
2022-12-14,869.75,869.75,869.75,869.75
2022-12-13,891.0,883.0,891.0,883.0
2022-12-12,880.0,880.0,880.0,880.0
2022-12-09,850.75,850.75,850.75,850.75
2022-12-08,864.5,860.5,864.5,860.5
2022-12-07,866.0,864.5,866.0,864.5
2022-12-06,850.75,845.75,850.75,844.0
2022-12-05,888.5,854.75,891.25,854.75
2022-12-02,874.5,882.0,887.0,865.5
2022-12-01,908.5,903.0,911.0,895.0
2022-11-30,903.0,913.25,919.25,901.5
2022-11-29,903.25,901.0,915.25,896.25
2022-11-28,921.5,904.75,924.75,898.25
2022-11-25,930.0,922.0,938.5,919.75
2022-11-23,926.0,930.25,934.0,911.0
2022-11-22,933.0,925.5,939.0,924.25
2022-11-21,934.75,934.25,942.0,923.5
2022-11-18,938.0,934.25,942.25,929.0
2022-11-17,955.0,938.0,955.5,933.0
2022-11-16,964.25,955.5,964.75,941.5
2022-11-15,956.0,963.0,974.75,944.5
2022-11-14,947.75,956.25,965.75,942.75
2022-11-11,925.0,943.5,945.75,923.0
2022-11-10,932.75,925.25,937.75,917.0
2022-11-09,947.0,930.0,951.25,928.75
2022-11-08,958.5,945.75,971.0,942.75
2022-11-07,953.5,957.25,971.75,940.25
2022-11-04,943.75,953.25,958.5,939.0
2022-11-03,941.75,941.25,949.5,925.25
2022-11-02,985.25,940.25,990.25,936.0
2022-11-01,979.0,990.0,991.0,960.75
2022-10-31,962.0,978.75,982.5,950.0
2022-10-28,934.0,925.0,934.5,915.25
2022-10-27,941.0,932.25,955.75,929.5
2022-10-26,934.5,940.75,946.25,923.0
2022-10-25,938.0,934.5,943.0,924.0
2022-10-24,951.0,938.0,953.25,931.5
2022-10-21,950.0,948.25,959.5,929.5
2022-10-20,944.5,949.75,955.0,938.25
2022-10-19,942.25,941.75,960.5,935.0
2022-10-18,952.0,944.5,957.5,929.0
2022-10-17,954.0,952.0,969.25,948.0
2022-10-14,982.0,952.25,989.5,950.75
2022-10-13,971.0,982.25,996.75,952.5
2022-10-12,992.25,970.0,993.75,967.0
2022-10-11,1018.25,990.75,1021.75,988.25
2022-10-10,980.5,1024.25,1037.5,978.75
2022-10-07,971.75,968.75,985.0,963.5
2022-10-06,992.0,965.0,995.0,959.75
2022-10-05,988.75,990.25,1008.75,980.25
2022-10-04,990.75,988.75,1011.0,985.5
2022-10-03,997.0,988.75,1009.75,981.25
2022-09-30,971.0,991.5,1010.75,963.5
2022-09-29,974.5,966.75,986.0,959.5
2022-09-28,946.5,976.0,977.5,935.25
2022-09-27,928.25,943.25,964.25,928.25
2022-09-26,950.5,929.5,961.5,926.75
2022-09-23,976.75,950.5,980.0,945.75
2022-09-22,964.25,979.5,989.75,951.75
2022-09-21,953.75,967.0,982.0,944.25
2022-09-20,908.75,963.0,964.75,906.0
2022-09-19,934.0,909.75,934.0,896.25
2022-09-16,925.0,935.25,944.25,910.25
2022-09-15,947.0,926.25,958.0,922.75
2022-09-14,954.0,961.5,963.5,954.0
2022-09-13,946.75,944.0,949.0,943.75
2022-09-12,929.25,937.25,937.25,926.0
2022-09-09,934.75,929.25,934.75,929.25
2022-09-08,902.25,893.0,902.25,893.0
2022-09-07,920.0,901.5,931.0,901.5
2022-09-06,879.0,879.0,879.0,879.0
2022-09-02,872.75,871.5,883.25,871.5
2022-09-01,924.0,863.5,928.0,863.5
2022-08-31,908.75,924.25,924.25,894.25
2022-08-30,912.75,908.75,915.75,895.25
2022-08-29,886.25,912.5,922.5,873.25
2022-08-26,864.75,883.25,888.75,861.75
2022-08-25,896.25,869.0,907.25,866.5
2022-08-24,882.0,896.25,906.0,880.5
2022-08-23,864.5,882.5,904.25,862.5
2022-08-22,844.75,865.25,869.25,837.0
2022-08-19,812.5,844.75,847.25,812.5
2022-08-18,851.75,812.5,853.5,807.5
2022-08-17,872.5,851.0,885.25,841.25
2022-08-16,875.0,871.75,892.75,868.5
2022-08-15,882.75,882.75,886.0,858.0
2022-08-12,882.5,889.25,893.75,859.75
2022-08-11,872.0,889.25,894.75,865.25
2022-08-10,851.5,872.75,878.5,851.25
2022-08-09,854.75,851.75,868.5,840.75
2022-08-08,848.0,847.75,862.75,829.75
2022-08-05,860.0,848.25,877.25,844.75
2022-08-04,836.0,860.25,865.25,831.0
2022-08-03,839.75,835.5,857.25,823.25
2022-08-02,860.0,842.25,860.75,838.5
2022-08-01,878.0,866.5,886.5,845.25
2022-07-29,886.25,874.5,915.25,870.5
2022-07-28,861.5,889.75,894.75,860.0
2022-07-27,876.0,861.75,889.0,853.0
2022-07-26,841.0,877.0,878.5,841.0
2022-07-25,848.0,839.75,853.0,823.25
2022-07-22,859.75,820.25,861.75,814.5
2022-07-21,870.0,861.25,887.0,852.25
2022-07-20,869.75,870.5,897.75,858.0
2022-07-19,873.25,869.25,877.75,853.0
2022-07-18,847.5,874.0,884.25,836.75
2022-07-15,848.75,837.5,854.0,820.0
2022-07-14,867.25,867.25,867.25,867.25
2022-07-13,889.0,867.25,889.0,867.25
2022-07-12,910.0,872.75,910.0,872.75
2022-07-11,967.5,920.25,968.5,920.25
2022-07-08,914.0,950.75,950.75,914.0
2022-07-07,874.0,891.0,893.5,872.25
2022-07-06,860.5,849.25,883.75,836.5
2022-07-05,910.0,860.25,910.0,857.5
2022-07-01,950.5,911.0,955.25,907.5
2022-06-30,988.0,948.75,999.5,948.75
2022-06-29,984.0,985.25,1003.25,981.0
2022-06-28,982.25,983.75,997.0,972.75
2022-06-27,992.0,972.75,1003.5,971.5
2022-06-24,1005.25,992.5,1022.0,991.75
2022-06-23,1036.75,1005.0,1037.75,1000.25
2022-06-22,1042.5,1039.25,1066.0,1025.5
2022-06-21,1104.0,1041.25,1108.0,1037.0
2022-06-17,1148.0,1105.0,1152.75,1102.5
2022-06-16,1138.25,1148.5,1159.5,1127.0
2022-06-15,1142.25,1133.25,1145.25,1125.75
2022-06-14,1161.75,1142.25,1161.75,1140.0
2022-06-13,1165.0,1161.75,1183.0,1146.5
2022-06-10,1153.75,1162.5,1167.75,1140.0
2022-06-09,1155.75,1153.75,1163.5,1130.0
2022-06-08,1152.25,1155.0,1168.0,1141.75
2022-06-07,1170.0,1149.25,1177.0,1135.5
2022-06-06,1134.25,1170.0,1184.75,1134.25
2022-06-03,1146.0,1121.0,1157.5,1119.0
2022-06-02,1130.75,1143.5,1163.0,1127.75
2022-06-01,1169.75,1128.25,1177.5,1112.5
2022-05-31,1236.25,1165.5,1237.25,1165.25
2022-05-27,1226.75,1235.25,1251.0,1212.0
2022-05-26,1235.0,1228.5,1249.0,1206.75
2022-05-25,1236.0,1233.25,1239.75,1192.0
2022-05-24,1278.25,1237.75,1291.5,1219.25
2022-05-23,1262.25,1276.5,1282.25,1259.0
2022-05-20,1297.5,1252.75,1300.0,1251.75
2022-05-19,1322.75,1295.25,1345.25,1277.5
2022-05-18,1368.0,1324.5,1368.0,1303.0
2022-05-17,1370.5,1367.75,1379.25,1298.5
2022-05-16,1326.25,1352.0,1352.0,1325.0
2022-05-13,1259.0,1252.75,1270.0,1252.75
2022-05-12,1200.0,1254.0,1254.0,1200.0
2022-05-11,1187.25,1186.25,1191.0,1185.0
2022-05-10,1167.0,1168.25,1168.25,1167.0
2022-05-09,1153.25,1153.25,1153.25,1153.25
2022-05-06,1177.0,1159.25,1181.0,1159.25
2022-05-05,1165.75,1165.75,1165.75,1165.75
2022-05-04,1116.0,1112.5,1121.0,1112.5
2022-05-03,1087.0,1081.75,1095.25,1079.0
2022-05-02,1084.25,1086.75,1100.25,1081.75
2022-04-29,1134.75,1094.25,1140.5,1094.25
2022-04-28,1148.25,1136.25,1156.25,1135.0
2022-04-27,1156.0,1148.25,1159.0,1141.75
2022-04-26,1153.5,1157.75,1173.25,1151.25
2022-04-25,1149.5,1145.25,1156.0,1132.5
2022-04-22,1140.25,1142.75,1151.25,1128.75
2022-04-21,1167.75,1137.75,1168.25,1128.75
2022-04-20,1171.0,1163.25,1186.25,1143.25
2022-04-19,1185.75,1171.5,1198.0,1167.25
2022-04-18,1154.0,1185.0,1193.5,1154.0
2022-04-14,1170.5,1154.0,1186.25,1151.25
2022-04-13,1162.25,1174.0,1179.5,1140.75
2022-04-12,1137.0,1162.25,1176.0,1134.0
2022-04-11,1109.75,1141.5,1157.25,1109.25
2022-04-08,1074.25,1106.75,1109.5,1065.5
2022-04-07,1089.5,1070.75,1090.25,1068.25
2022-04-06,1083.25,1085.0,1095.5,1061.5
2022-04-05,1048.5,1082.75,1099.25,1047.75
2022-04-04,1019.25,1037.75,1044.75,1016.5
2022-04-01,1032.0,1013.0,1052.75,1012.0
2022-03-31,1047.0,1029.75,1089.25,1028.25
2022-03-30,1024.0,1044.5,1058.75,1014.75
2022-03-29,1064.0,1024.5,1078.75,993.0
2022-03-28,1101.5,1070.5,1103.25,1058.75
2022-03-25,1096.5,1110.75,1116.0,1074.25
2022-03-24,1111.0,1095.0,1121.0,1090.5
2022-03-23,1116.5,1111.5,1139.75,1105.0
2022-03-22,1114.5,1116.5,1156.5,1106.25
2022-03-21,1079.0,1113.25,1148.5,1070.25
2022-03-18,1086.75,1070.5,1097.25,1055.75
2022-03-17,1062.0,1092.25,1100.75,1040.0
2022-03-16,1158.0,1072.5,1160.25,1072.5
2022-03-15,1103.0,1157.5,1164.5,1090.75
2022-03-14,1079.25,1079.25,1079.25,1079.25
2022-03-11,1075.75,1075.75,1075.75,1075.75
2022-03-10,1066.25,1052.25,1066.25,1052.25
2022-03-09,1106.25,1106.25,1106.25,1106.25
2022-03-08,1190.0,1186.0,1190.0,1186.0
2022-03-07,1225.75,1237.75,1247.5,1225.75
2022-03-04,1162.0,1200.75,1200.75,1162.0
2022-03-03,1135.0,1140.25,1140.25,1111.5
2022-03-02,1043.5,1073.5,1073.5,1043.5
2022-03-01,983.5,1012.0,1014.25,983.5
2022-02-28,916.0,954.25,963.75,916.0
2022-02-25,953.0,886.75,971.75,877.5
2022-02-24,915.0,963.0,963.5,912.25
2022-02-23,881.0,913.5,917.5,871.25
2022-02-22,854.0,881.75,884.5,845.75
2022-02-18,821.75,835.25,850.0,815.75
2022-02-17,806.0,823.0,825.5,803.5
2022-02-16,805.0,808.0,813.25,799.5
2022-02-15,830.0,806.0,830.25,797.25
2022-02-14,826.0,828.5,844.25,810.0
2022-02-11,800.25,824.25,831.0,791.5
2022-02-10,816.0,801.0,830.0,794.75
2022-02-09,801.25,815.0,818.25,794.75
2022-02-08,793.0,801.25,803.25,777.25
2022-02-07,796.25,791.75,799.25,782.25
2022-02-04,771.0,785.75,788.5,769.25
2022-02-03,766.0,769.0,773.25,753.25
2022-02-02,786.0,769.5,797.0,765.75
2022-02-01,780.75,786.25,793.5,776.25
2022-01-31,807.25,781.25,817.0,777.0
2022-01-28,793.5,802.25,810.75,790.0
2022-01-27,814.0,793.5,816.0,791.0
2022-01-26,833.5,815.75,833.75,804.75
2022-01-25,819.25,834.5,849.25,818.25
2022-01-24,805.0,818.0,819.25,794.25
2022-01-21,795.75,793.25,803.0,786.25
2022-01-20,799.0,796.5,806.5,787.5
2022-01-19,775.0,800.0,800.5,775.0
2022-01-18,746.5,772.75,775.0,745.0
2022-01-14,759.75,745.0,759.75,743.75
2022-01-13,776.0,759.75,777.0,757.75
2022-01-12,790.75,778.0,793.5,775.25
2022-01-11,778.0,791.75,793.0,775.75
2022-01-10,776.5,778.25,779.75,761.0
2022-01-07,769.5,775.0,776.0,754.5
2022-01-06,787.0,768.5,787.0,762.0
2022-01-05,804.0,787.0,807.5,782.75
2022-01-04,793.5,804.0,805.25,792.0
2022-01-03,805.25,791.5,817.0,785.5
2021-12-31,813.0,801.5,820.25,798.5
2021-12-30,826.25,812.75,829.0,808.5
2021-12-29,822.5,824.5,829.5,811.25
2021-12-28,847.5,821.75,850.75,820.25
2021-12-27,864.25,847.0,871.0,845.5
2021-12-23,852.5,861.5,863.75,850.0
2021-12-22,839.75,853.75,856.5,830.25
2021-12-21,813.5,841.5,844.5,811.75
2021-12-20,814.25,813.25,814.25,793.75
2021-12-17,803.0,810.0,817.0,800.75
2021-12-16,785.5,803.75,807.25,781.75
2021-12-15,811.5,785.5,811.5,781.0
2021-12-14,806.75,805.25,821.0,798.5
2021-12-13,804.25,808.5,813.25,804.25
2021-12-10,801.5,801.5,801.5,801.5
2021-12-09,810.5,794.5,810.5,793.75
2021-12-08,822.0,810.25,822.0,805.75
2021-12-07,821.0,827.25,827.25,819.0
2021-12-06,824.0,821.5,824.0,807.0
2021-12-03,832.0,822.0,841.0,821.5
2021-12-02,829.5,838.5,841.25,829.5
2021-12-01,824.25,814.25,824.25,810.25
2021-11-30,852.5,819.0,852.5,817.0
2021-11-29,875.25,854.0,881.75,847.5
2021-11-26,855.5,865.0,870.25,845.0
2021-11-24,878.75,873.25,887.25,865.75
2021-11-23,862.0,878.75,879.5,857.25
2021-11-22,839.75,861.75,865.25,838.5
2021-11-19,827.75,834.75,839.75,820.25
2021-11-18,834.75,827.25,849.75,826.75
2021-11-17,822.25,834.0,840.5,821.5
2021-11-16,836.0,820.75,837.25,816.25
2021-11-15,833.0,836.0,839.25,824.25
2021-11-12,828.0,833.0,843.5,818.25
2021-11-11,817.5,828.0,838.75,814.75
2021-11-10,797.25,817.5,819.0,791.75
2021-11-09,781.25,793.5,796.5,776.5
2021-11-08,778.75,780.75,785.5,774.0
2021-11-05,786.75,778.75,791.25,778.0
2021-11-04,790.75,786.0,804.0,782.25
2021-11-03,796.5,790.75,802.0,786.25
2021-11-02,807.25,798.25,814.5,796.25
2021-11-01,787.75,806.5,809.5,779.75
2021-10-29,790.0,785.75,794.25,778.5
2021-10-28,781.25,790.0,797.25,776.0
2021-10-27,774.75,782.75,786.5,771.5
2021-10-26,781.75,777.25,790.0,766.5
2021-10-25,774.0,777.75,782.25,768.5
2021-10-22,750.0,774.0,775.0,750.0
2021-10-21,759.0,747.75,762.5,743.25
2021-10-20,748.5,759.75,760.75,747.75
2021-10-19,746.5,748.25,757.25,745.25
